function,category,n_train,best_degree,C_train,C_test,deltaC,R2_train,R2_test,gap,d_deltaC,d_gap,d_R2_train,d_R2_test,d2_deltaC,d2_gap,deltaC_ratio
sine,B_oscillatory,420,10,564.958105566391,616.5923163957939,51.63421082940283,0.9816225386808966,0.9817814901622209,-0.00015895148132438752,12.17205394718108,4.071026321025295e-05,4.071026321025295e-05,0.0,1.050246434829256,3.553473080318004e-06,-0.2691989673626038
sine,B_oscillatory,440,10,359.02760490013975,616.5923163957939,257.56471149565414,0.9805429413595813,0.9817814901622209,-0.0012385488026396274,10.296525033312566,-5.397986606576199e-05,-5.397986606576199e-05,0.0,-0.09377644569342572,-4.734506463800747e-06,4.988256959066086
sine,B_oscillatory,460,10,125.43762660844848,616.5923163957939,491.15468978734543,0.9803793931624036,0.9817814901622209,-0.0014020969998173038,11.679498914584565,-8.177409858883821e-06,-8.177409858883821e-06,0.0,0.06914869406359996,2.2901228103439088e-06,1.9069176322146624
sine,B_oscillatory,480,10,418.73031713680507,616.5923163957939,197.86199925898882,0.9800816384227721,0.9817814901622209,-0.0016998517394488655,-14.664634526417831,-1.4887736981578081e-05,-1.4887736981578081e-05,0.0,-1.3172066720501199,-3.35516356134713e-07,0.4028506769316544
sine,B_oscillatory,500,10,790.0383145824339,616.5923163957939,-173.44599818664005,0.9795853732161066,0.9817814901622209,-0.0021961169461143237,-18.565399872281443,-2.481326033327291e-05,-2.481326033327291e-05,0.0,-0.19503826729318058,-4.962761675847415e-07,-0.8766008573460851
sine_high,B_oscillatory,20,10,126139.9399711703,4933.19870769346,-121206.74126347684,0.6367679841224327,0.333513498779927,0.30325448534250576,,,,,,,
sine_high,B_oscillatory,40,10,44511.23437591766,4933.19870769346,-39578.0356682242,0.5493632513615898,0.333513498779927,0.21584975258166283,4081.435279762632,-0.0043702366380421465,-0.0043702366380421465,0.0,,,0.32653328730445974
sine_high,B_oscillatory,60,10,19121.40224698788,4933.19870769346,-14188.20353929442,0.4889143616982906,0.333513498779927,0.15540086291836364,1269.491606446489,-0.00302244448316496,-0.00302244448316496,0.0,-140.59718366580714,6.738960774385934e-05,0.3584868046062636
sine_high,B_oscillatory,80,10,20305.229900290902,4933.19870769346,-15372.031192597442,0.46252243850072894,0.333513498779927,0.12900893972080196,-59.1913826651511,-0.0013195961598780836,-0.0013195961598780836,0.0,-66.434149455582,8.514241616434381e-05,1.0834374591557272
sine_high,B_oscillatory,100,10,6802.08295175786,4933.19870769346,-1868.8842440644003,0.43621392515325075,0.333513498779927,0.10270042637332377,675.1573474266521,-0.0013154256673739094,-0.0013154256673739094,0.0,36.71743650459016,2.0852462520870586e-07,0.12157692244108771
sine_high,B_oscillatory,120,10,6119.122755678284,4933.19870769346,-1185.924047984824,0.42233780581048963,0.333513498779927,0.08882430703056265,34.14800980397881,-0.0006938059671380559,-0.0006938059671380559,0.0,-32.050466881133666,3.108098501179268e-05,0.6345626015904055
sine_high,B_oscillatory,140,10,8973.289171922259,4933.19870769346,-4040.0904642287987,0.3921775914290132,0.333513498779927,0.05866409264908623,-142.70832081219874,-0.0015080107190738213,-0.0015080107190738213,0.0,-8.842816530808879,-4.071023759678827e-05,3.4067025380705482
sine_high,B_oscillatory,160,10,14073.570462542633,4933.19870769346,-9140.371754849173,0.40963434202178595,0.333513498779927,0.07612084324185897,-255.01406453101873,0.000872837529638637,0.000872837529638637,0.0,-5.615287185941,0.00011904241243562292,2.262417595788651
sine_high,B_oscillatory,180,10,10412.012427430345,4933.19870769346,-5478.813719736885,0.4012010134222195,0.333513498779927,0.0676875146422925,183.0779017556144,-0.00042166642997832347,-0.00042166642997832347,0.0,21.904598314331658,-6.472519798084801e-05,0.59940819330792
sine_high,B_oscillatory,200,10,8811.732136504752,4933.19870769346,-3878.5334288112917,0.3908211401084881,0.333513498779927,0.05730764132856114,80.01401454627967,-0.0005189936656865679,-0.0005189936656865679,0.0,-5.1531943604667365,-4.86636178541222e-06,0.7079148201077284
